,raw_hz,peak_id,line_width,integral,file_path,raw_Al_concentration,raw_Li_concentration,raw_Na_concentration,degrees_celsius,Hz,Mat_Source,raw_mg,scan_count,nmr_element
51,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2700Hz-100C-32ct.ft,0.15,,3.0,100,2700,,,32,23Na
52,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2700Hz-100C-32ct.ft,0.15,,3.0,100,2700,,,32,23Na
53,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2700Hz-100C-32ct.ft,0.15,,3.0,100,2700,,,32,23Na
54,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2700Hz-100C-32ct.ft,0.15,,3.0,100,2700,,,32,23Na
55,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2700Hz-100C-32ctF.ft,0.15,,3.0,100,2700,,,32,23Na
56,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2700Hz-100C-32ctF.ft,0.15,,3.0,100,2700,,,32,23Na
57,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2700Hz-100C-32ctF.ft,0.15,,3.0,100,2700,,,32,23Na
58,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2700Hz-100C-32ctF.ft,0.15,,3.0,100,2700,,,32,23Na
59,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2700Hz-100C-32ctF.ft,0.15,,3.0,100,2700,,,32,23Na
60,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2710Hz-90C-32ct.ft,0.15,,3.0,90,2710,,,32,23Na
61,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2710Hz-90C-32ct.ft,0.15,,3.0,90,2710,,,32,23Na
62,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2710Hz-90C-32ct.ft,0.15,,3.0,90,2710,,,32,23Na
63,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2710Hz-90C-32ct.ft,0.15,,3.0,90,2710,,,32,23Na
64,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2710Hz-90C-32ct.ft,0.15,,3.0,90,2710,,,32,23Na
65,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2710Hz-90C-32ctF.ft,0.15,,3.0,90,2710,,,32,23Na
66,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2710Hz-90C-32ctF.ft,0.15,,3.0,90,2710,,,32,23Na
67,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2710Hz-90C-32ctF.ft,0.15,,3.0,90,2710,,,32,23Na
68,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2710Hz-90C-32ctF.ft,0.15,,3.0,90,2710,,,32,23Na
69,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2710Hz-90C-32ctF.ft,0.15,,3.0,90,2710,,,32,23Na
70,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2720Hz-80C-32ct.ft,0.15,,3.0,80,2720,,,32,23Na
71,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2720Hz-80C-32ct.ft,0.15,,3.0,80,2720,,,32,23Na
72,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2720Hz-80C-32ct.ft,0.15,,3.0,80,2720,,,32,23Na
73,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2720Hz-80C-32ct.ft,0.15,,3.0,80,2720,,,32,23Na
74,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2720Hz-80C-32ct.ft,0.15,,3.0,80,2720,,,32,23Na
75,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2720Hz-80C-32ctF.ft,0.15,,3.0,80,2720,,,32,23Na
