# isotropic nmr Al shielding tensor 
#  0.0		2.5core       2.5core_na   4.0core    4.0core_na     6.0core       6.0core_na
  526.8146     525.8527       500.0787     531.5200   527.5952       533.9730       529.1079
  533.0721     536.9938       517.7829     534.1412   530.0199       540.9824       539.3869
  527.2924     531.1614       512.8896     531.3957   526.9881       530.1429       543.9172
  536.3218     529.2220       519.1412     530.3373   526.3020       524.3710       538.2993
  540.8423     536.6574       520.0284     535.5291   533.3208       537.4569       524.5496
  530.8907     532.1250       517.5445     535.2250   532.5222       541.7911       532.9392
  531.3537     525.8201       521.6769     534.0669   529.7630       533.2912       530.4785
  534.8332     533.8056       519.9320     531.3457   527.1980       529.2794       527.7681
  531.5902     542.3333       513.4326     529.3674   526.5178       538.2008       533.2142
  531.2794     536.1726       519.1320     533.5469   529.8696       543.1268       535.3145
  532.6290     530.8847       526.2287     540.3016   536.8617       539.0810       537.9446
  532.2297     530.6980       504.2186     532.6307   530.2991       526.1716       538.4046
  534.4490     536.4914       520.0438     536.6262   534.6520       533.6641       525.9303
  533.9593     538.7575       515.3779     525.6675   523.4135       531.2849       515.4863
  528.9615     533.1979       517.3872     529.2337   525.2630       529.1409       528.7324
  524.2667     529.8764       516.6179     541.1321   537.5258       533.3980       533.8820
  528.5501     536.3511       517.6769     539.2036   536.3288       534.4922       538.3569
  536.3788     535.4047       523.0609     528.2725   525.1293       537.5266       530.3881
  529.6910     526.2052       517.5901     531.5679   528.6329       538.6775       531.2786
  526.3293     533.6672       510.0582     537.5343   535.1257       526.4133       534.3696
  530.2843     543.5868       518.1111     532.5032   530.0093       517.6123       526.9776
  526.2709     529.7102       516.6019     534.4849   531.4557       529.1063       528.7222
  548.6944     525.0425       515.6886     530.0755   524.7916       534.9552       538.2012
  525.1555     537.0486       509.6011     546.3544   517.2355       537.6151       530.6200
  536.3708     537.8449       522.7021     536.7492   528.4349       529.3365       539.7005
  535.4210     530.4681       529.1300     525.0833   535.7369       530.6887       530.9891
  529.0808     532.4418       509.7098     536.7877   524.9930       535.3267       529.4048
  527.8271     531.9941       507.0509     547.9628   521.4993       527.2578       538.0316
  526.3250     524.8291       520.0873     538.3767   527.2253       528.6561       535.3386
  535.5746     532.4660       518.8004     531.2816   527.5508       538.9725       537.3471
  540.0409     543.1873       511.8720     533.3893   524.9008       531.0470       528.6463
  543.4853     535.5018       509.4704     531.4164   529.2409       540.7530       528.0965
  529.3407     524.9327       501.7772     535.2202   531.4490       531.5427       532.4272
  530.9524     529.2700       509.4145     527.5112   525.2900       530.3246       531.3897
  537.3837     535.3782       511.5323     525.7227   524.6276       538.5111       527.7694
  543.2840     529.4209       505.9380     537.1736   533.6132       535.0772       525.5034
  536.8349     533.7143       504.3910     532.0073   530.1137       537.2378       525.8323
  539.1921     541.7595       507.8441     530.9289   527.8276       528.7406       526.9893
  533.8024     536.8081       514.0833     519.6215   517.5135       528.1305       530.2437
  526.6003     525.7111       511.8632     521.8779   520.0789       532.2124       528.1788
  532.7621     527.0267       508.3990     532.5661   530.3347       530.1693       528.5800
  546.9076     535.9118       511.0439     528.2704   525.8090       527.9163       527.1137
  549.9868     534.6325       512.7390     521.9059   519.8866       526.0775       526.1501
  534.5315     527.6039       515.2837     527.8440   525.4323       526.5720       523.4493
  527.9309     534.8994       511.3009     533.2195   529.8486       529.8496       526.8835
  535.1699     547.3228       503.4113     529.9761   526.5482       531.0622       536.1777
  543.6180     543.9543       512.8415     528.1094   524.6931       529.1240       532.0012
  538.8169     531.6654       508.2948     533.4096   529.3956       528.9842       528.0754
  542.8327     532.4699       521.3323     530.4032   525.9954       529.1027       533.7545
  534.4021     540.3393       509.3775     529.3977   525.7318       527.6604       530.5417
  530.3927     544.8756       504.2934     529.5188   526.8733       523.2769       522.1649
  532.3027     540.6866       513.8344     531.8239   528.8119       526.5882       526.6682
  535.7024     533.0364       518.2042     531.8577   528.7273       536.0646       527.8899
  534.3563     530.9884       518.1361     531.2906   528.3866       531.6758       529.8973
  530.6219     533.2723       512.1924     530.7559   529.0898       528.0686       522.8820
  528.6191     537.4208       510.9490     530.9968   530.0474       534.0752       520.7852
  531.7956     539.5357       516.2974     530.6814   529.4475       530.9536       528.0944
  532.8557     531.2262       510.6441     533.3450   531.1881       522.5154       527.8448
  534.3900     531.6648       506.3616     535.3576   534.1601       527.4578       522.9393
  533.3206     541.0344       518.3148     532.0813   528.0805       528.6468       526.7279
  530.5754     537.5376       511.5180     535.1759   534.9129       531.9603       532.9471
  526.1798     522.3738       512.5753     530.3023   529.2494       525.0690       528.3889
  530.3767     522.3728       507.8571     528.6066   526.9831       522.0315       527.7893
  530.1488     540.0101       510.3839     532.8774   532.1531       528.4395       530.0758
  521.4875     538.5801       515.3666     537.0474   535.8823       528.5309       529.3174
  526.5122     522.5821       513.6847     539.6796   538.0733       524.0047       527.1331
  530.8539     524.4279       509.8406     534.5373   532.2354       527.6749       527.6521
  530.2931     535.5929       508.0944     528.9676   526.5383       532.9886       530.5435
  527.3677     530.1304       507.6709     531.3551   529.4852       528.4745       533.9921
  526.0876     526.8983       513.1850     533.5701   531.8672       528.9249       534.2383
  527.5142     532.8035       513.9834     528.9347   527.7996       530.8051       530.4094
  535.5196     533.6750       516.5562     530.3805   526.4158       529.6454       533.3705
  530.6119     526.4492       506.5228     531.4602   530.4167       527.4727       538.4849
  529.1025     525.4595       508.2299     535.0737   534.2145       528.1272       525.9823
  527.3344     529.7736       513.8238     529.6311   527.7986       530.9728       523.3583
  532.6084     535.6926       507.7896     525.8190   524.3149       534.3499       522.2739
  531.0348     538.3850       509.7722     529.0806   529.6921       534.2061       529.4571
  523.8431     525.8211       521.5953     531.4146   532.2578       530.2308       532.0552
  525.4506     524.2663       514.6882     528.9855   528.0830       532.4242       534.4966
  531.2593     535.7241       503.2894     530.8360   529.7071       537.9861       532.3880
  533.8894     532.7253       509.3328     530.8005   530.3992       535.2311       521.9747
  533.3343     527.9210       517.0433     525.8489   526.0925       525.9526       520.0308
  530.9904     533.6409       514.7216     526.6037   525.8051       523.4058       532.8960
  534.2596     534.3591       504.3254     533.4223   529.2756       523.0749       541.9571
  533.5166     531.2095       512.6553     531.1518   529.0508       529.5179       534.2712
  538.3020     534.7369       510.2796     530.2068   528.6414       531.3123       526.5949
  533.9438     534.1128       502.2055     528.4251   528.2069       533.4815       525.7145
  531.1264     528.6139       503.2784     530.0445   530.2815       531.6696       521.1922
  529.7319     534.7631       518.2107     529.1170   528.3402       522.5509       523.4668
  530.2789     541.6691       518.4134     529.8509   528.3760       520.0644       529.0989
  535.3768     534.1417       503.6087     533.5160   533.0138       532.3611       539.4864
  543.2960     528.0767       505.1459     531.6200   531.5328       541.6426       535.7164
  540.1131     530.2565       514.6775     530.5739   529.1769       534.2488       522.8149
  533.2433     528.9353       511.9370     531.5385   529.4930       526.3804       522.1587
  534.0157     528.5567       508.7144     526.8796   525.5611       525.8880       530.1637
  535.4613     534.8910       506.0351     535.6605   532.1332       522.7455       533.3936
  543.3215     531.3655       514.3027     527.6546   525.7926       523.9537       535.1016
  540.2742     524.0876       508.7532     532.9987   530.8862       529.2316       535.4419
